맥체인 성경읽기표,,,,,
월,일,내용,,,
,3,사무엘상27,고린도전서8,에스겔6,시편44
,4,사무엘상28,고린도전서9,에스겔7,시편45
,5,"사무엘상29,30",고린도전서10,에스겔8,"시편46,47"
,6,사무엘상31,고린도전서11,에스겔9,시편48
,7,사무엘하1,고린도전서12,에스겔10,시편49
,8,사무엘하2,고린도전서13,에스겔11,시편50
,9,사무엘하3,고린도전서14,에스겔12,시편51
,10,"사무엘하4,5",고린도전서15,에스겔13,"시편52,53,54"
,11,사무엘하6,고린도전서16,에스겔14,시편55
,12,사무엘하7,고린도후서1,에스겔15,"시편56,57"
,13,"사무엘하8,9",고린도후서2,에스겔16,"시편58,59"
,14,사무엘하10,고린도후서3,에스겔17,"시편60,61"
,15,사무엘하11,고린도후서4,에스겔18,"시편62,63"
,16,사무엘하12,고린도후서5,에스겔19,"시편64,65"
,17,사무엘하13,고린도후서6,에스겔20,"시편66,67"
,18,사무엘하14,고린도후서7,에스겔21,시편68
,19,사무엘하15,고린도후서8,에스겔22,시편69
,20,사무엘하16,고린도후서9,에스겔23,"시편70,71"
,21,사무엘하17,고린도후서10,에스겔24,시편72
,22,사무엘하18,고린도후서11,에스겔25,시편73
,23,사무엘하19,고린도후서12,에스겔26,시편74
,24,사무엘하20,고린도후서13,에스겔27,"시편75,76"
,25,사무엘하21,갈라디아서1,에스겔28,시편77
,26,사무엘하22,갈라디아서2,에스겔29,시편78
,27,사무엘하23,갈라디아서3,에스겔30,시편79
,28,사무엘하24,갈라디아서4,에스겔31,시편80
,29,열왕기상1,갈라디아서5,에스겔32,시편81
,30,열왕기상2,갈라디아서6,에스겔33,시편82
10월,1,열왕기상3,에베소서1,에스겔34,"시편83,84"
,2,"열왕기상4,5",에베소서2,에스겔35,시편85
,3,열왕기상6,에베소서3,에스겔36,시편86
,4,열왕기상7,에베소서4,에스겔37,"시편87,88"
,5,열왕기상8,에베소서5,에스겔38,시편89
,6,열왕기상9,에베소서6,에스겔39,시편90
,7,열왕기상10,빌립보서1,에스겔40,시편91
,8,열왕기상11,빌립보서2,에스겔41,"시편92,93"
,9,열왕기상12,빌립보서3,에스겔42,시편94
,10,열왕기상13,빌립보서4,에스겔43,"시편95,96"
,11,열왕기상14,골로새서1,에스겔44,"시편97,98"
,12,열왕기상15,골로새서2,에스겔45,"시편99,100,101"
,13,열왕기상16,골로새서3,에스겔46,시편102
,14,열왕기상17,골로새서4,에스겔47,시편103
,15,열왕기상18,데살로니가전서1,에스겔48,시편104
,16,열왕기상19,데살로니가전서2,다니엘1,시편105
,17,열왕기상20,데살로니가전서3,다니엘2,시편106
,18,열왕기상21,데살로니가전서4,다니엘3,시편107
,19,열왕기상22,데살로니가전서5,다니엘4,"시편108,109"
,20,열왕기하1,데살로니가후서1,다니엘5,"시편110,111"
,21,열왕기하2,데살로니가후서2,다니엘6,"시편112,113"
,22,열왕기하3,데살로니가후서3,다니엘7,"시편114,115"
,23,열왕기하4,디모데전서1,다니엘8,시편116
,24,열왕기하5,디모데전서2,다니엘9,"시편117,118"
,25,열왕기하6,디모데전서3,다니엘10,시편119
,26,열왕기하7,디모데전서4,다니엘11,
,27,열왕기하8,디모데전서5,다니엘12,
,28,열왕기하9,디모데전서6,호세아1,
,29,열왕기하10,디모데후서1,호세아2,
,30,"열왕기하11,12",디모데후서2,"호세아3,4",
